,type,rank,player,count,team,position,image
56,두산,7,김택연,159,두산,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fb8314ff6-f0b0-4664-a8aa-3deef3ec0374.png
57,두산,8,정수빈,126,두산,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F96eb6144-929a-4644-8b85-0b66840e5274.png
58,두산,9,김재환,120,두산,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F254906a5-28d1-43fa-bfc4-5eec7d13c926.png
59,두산,10,김기연,95,두산,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F9201751e-f0e7-4a37-8381-754d43026753.png
60,KIA,1,김도영,302,KIA,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fa0a6421c-4d82-4630-a0cd-c443b1558c7e.png
61,KIA,2,최형우,235,KIA,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F34cd9982-8396-4e8d-9b7f-9834275bd024.png
62,KIA,3,나성범,106,KIA,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F8cf241c3-1b3e-4e63-a768-6a2c0184de37.png
63,KIA,4,최정,104,SSG,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Ffa5813b2-61ca-4e8f-b97c-5ff58ff48b4a.png
64,KIA,5,황동하,103,KIA,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F91012830-0b08-4a39-b1c2-549a84527291.png
65,KIA,6,양현종,97,KIA,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fd3c523c1-0a24-4f06-a098-cb2a45a04c21.png
66,KIA,7,이우성,90,KIA,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F810cac9c-99ce-442a-8edf-40b4a44520a9.png
67,KIA,8,박찬호,87,-,-,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F74a54661-74c8-43d0-8bfd-cc44b6f18c16.png
68,KIA,9,한준수,84,KIA,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F1a431ace-2835-4c63-84ef-805e88a1b05c.png
69,KIA,10,정해영,82,KIA,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F6abbab77-381d-4cb4-987e-bb22d479975c.png
70,롯데,1,고승민,211,롯데,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fa5e519b0-0b3f-40e6-9a83-46e6a22f5a05.png
71,롯데,2,한동희,200,롯데,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F58%2F202304171524245831.png
72,롯데,3,반즈,192,-,-,-
73,롯데,4,류현진,188,한화,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F12630b6e-87bd-41ad-92d6-66c36f83bf7f.png
74,롯데,5,전준우,148,롯데,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F90293a35-0db4-4470-9a94-ee8bf8797642.png
75,롯데,6,윤동희,123,롯데,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F95%2F202304171339288721.png
76,롯데,7,이주찬,107,롯데,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F790b345f-e1a4-4fe0-880b-8f81a052554b.png
77,롯데,8,레이예스,99,-,-,-
78,롯데,9,유강남,92,롯데,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F74%2F202304171338093751.png
79,롯데,10,나승엽,75,롯데,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F362234de-f845-4e77-bb31-68684ac0d7b5.png
80,삼성,1,김영웅,383,삼성,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Ffa635361-98eb-4575-8259-2ee72661f123.png
81,삼성,2,원태인,288,삼성,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F2e43a89e-21c6-45db-a905-13a35cc3b5ac.png
82,삼성,3,이승현,207,-,-,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fea194eac-cd80-4c4d-b2ff-2e5c52feba6a.png
83,삼성,4,레예스,172,-,-,-
84,삼성,5,김헌곤,165,삼성,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fe7264698-3388-4614-961a-d09cbd6d3a2a.png
85,삼성,6,구자욱,121,삼성,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F68bf97f0-f7f2-4d81-b926-35cee9a1a2bf.png
86,삼성,7,류지혁,105,삼성,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fcb829fa1-5a4e-4e53-9bad-9e29f8711490.png
87,삼성,8,이재현,98,삼성,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F5ff51d13-e517-4200-9f6d-ca058fe04fab.png
88,삼성,9,이호성,88,-,-,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fedd3f2df-6f3f-424e-ba55-255f91c148c5.png
89,삼성,10,맥키넌,87,-,-,-
